ID_Firebase;institution
Na44fbbTNZUjn7JIw6bBgLmTGmB2;Medsport - site de Sion
PQKKiABo9oWhgcOKlmD5f1kKPoF3;Leukerbad Clinic
kBlGnRSNhgaQSTPumpAz4jZ7pgq2;Medsport - site de Sion
NR8huwU63SO8aHfW5e7UxN0mw0i1;Movea 
uwUTp2rxDHhytEej6vKfcVlOCY73;Hôpital du Valais (HVS) - site de Sierre
lRjmWjDaAUcsqHli7A3rfvAazgl2;Clinique romande de réadaptation (CRR) - SUVA 
wb6ciGEN2tVpmU0Ld5ftdVCy1Qi1;Berner Klinik Montana
aMpDSmIIsjZHIHJrVFGyKiLF94j2;Clinique romande de réadaptation (CRR) - SUVA 
fgw7KyTqr4WAoThi0KjJtDRY7Ri2;Hôpital du Valais (HVS) - site de St-Amé
SodSajGZ6lhfjjwB8YB4pMYT3hZ2;Hôpital Riviera-Chablais (HRC) -Clinique CGR du Chablais
N8koxvd1HBPOd8JW608fml7v9G82;Medsport - site de Sierre
VO9wOi3JGvVchoaQvtNTidOABe03;Spital Zentrum Oberwallis (SZO) - site de Brig
ta5fEsMcBHV64fLfjy7knGlQVd93;Spital Zentrum Oberwallis (SZO) - site de Brig
db0aQCgPMGgusm21XWqJ6RkXRvU2;Leukerbad Clinic
AaVsgnDJcfc4ZG8BwfCezt1VSZA3;Actifisio
qMjlyqwW8wN9IsVapiUoCXrJjOG2;Luzerner Hohenklinik Montana
XQtDBAPWalffkax0p7ml1k0yOtr2;Hôpital du Valais (HVS) - site de St-Amé
mGwDQ6cu9BfI9d0sLUVdZBnoooB2;Spital Zentrum Oberwallis (SZO) - site de Brig
YiI50LxSiZYDXMtiCNf6kwEWSQ42;Hôpital du Valais (HVS) - site de Sion
ugBbi96TQGRuQLKFwT43qJHa4za2;Hôpital du Valais (HVS) - site de Martigny 
8YkNXMIQd4OiFHX0Ljm4LKsbZ2A2;Physio Life
qhCrypuoDXc5zIWJAD9dOL8Ljv63;Hôpital du Valais (HVS) - site de Sion
IBhyDws6lPNCFbIz9ZjfNf3WgGm2;Hôpital du Valais (HVS) - site de Sion
C2QrJqemFxaWOoBUDF2tTRgXqnx2;Physio Clinics - site de Collombey
lMzLCfyBONNuxRa5AzM2VPnTpOx1;Clinique romande de réadaptation (CRR) - SUVA 
lQVKbNduW7gdmCOBxC5KYnaIvGG3;Clinique romande de réadaptation (CRR) - SUVA 
hZTRrS8UMrfybYXKulfk1pI03jw2;Therapiezentrum Stalden
Hnqd1QWfsafGdmWBECGv7owgJFt2;Hôpital du Valais (HVS) - site de Sierre
4XpuWt6oUEgmQ9IjEloUtqyd4c43;Clinique romande de réadaptation (CRR) - SUVA 
4Bf1mBR9HjcLeFcDeuEVRrGDaU63;Hôpital du Valais (HVS) - site de Martigny 
AXP0X3rUqzbpG3thTZcuZ6Ax1no1;Hôpital du Valais (HVS) - site de Sion
T70EwGWJMtZ22rcprSkqiOcPzTf1;Clinique romande de réadaptation (CRR) - SUVA 
4qoWztDujictoqTEJvJK6xF1Zcr1;
Vnf1L8xxhFheK6RE3P18MGzMDkc2;Leukerbad Clinic
WwfAPnGOElWCCprK8J9QpARedqV2;Leukerbad Clinic
fE3EIKzXzKd3e7k8xoye5uc3PPd2;Hôpital du Valais (HVS) - site de Martigny 
XK3sK3I48cMs89evbLhJZwBNlS92;Hôpital du Valais (HVS) - site de Sierre
tc2VPj6NxHQyXqO9cxgs1VvCH9A2;Leukerbad Clinic
3XdluvWkn4NM3gFsvPNCtUDM5Oi1;Hôpital Riviera-Chablais (HRC) - site de Rennaz
sJ0z0k4idEg6PMCnMrjW3lho9cs1;Hôpital du Valais (HVS) - site de Sion
Jg1Ejqc46rbcTHBwOMRYZZRwbTE2;Hôpital du Valais (HVS) - site de Martigny 
RY3eRRvuMhcM10siGR3QdhIHBI42;Hôpital du Valais (HVS) - site de Martigny 
H4RtKMKXpYhJkTOTOOm62ANGNAo2;Leukerbad Clinic
6Kza76qZHxOb8TlrP068rdr93br1;Hôpital du Valais (HVS) - site de Martigny 
QzBEdtlEIsfsg3pD6B1adFBmZSG2;Hôpital du Valais (HVS) - site de Sion
djz1MyC7JsYen1wobYSUQC4aeF92;Hôpital Riviera-Chablais (HRC) - site de Rennaz
R5PCIOnQeUhRSyFRTI9fg0Wp8p23;Hôpital du Valais (HVS) - site de Martigny 
Z17WasZ4jjTqI5MnidpGgjIF0sX2;Hôpital du Valais (HVS) - site de St-Amé
8M3ZbwOu7tgpTAY5sfxeVKBoBUI3;Hôpital du Valais (HVS) - site de Martigny 
yn7VMvQNy8gz9G2SrHjsYIuCfxA2;Luzerner Hohenklinik Montana
M8ySAiobcuStMPVUKB1SUjfZO2D2;Luzerner Hohenklinik Montana
yWShM6jbuNcck2CfI0ihEtckesW2;Clinique romande de réadaptation (CRR) - SUVA 
A5gF87EUo6NdCaKoemDLN5V4gkF2;Luzerner Hohenklinik Montana
nqvttcCyf3SL6YT1DJJ8GGM3MKz2;Hôpital Riviera-Chablais (HRC) -Clinique CGR du Chablais
atQ2mk9k2lUYzt9nrJgwsjyzz702;Clinique romande de réadaptation (CRR) - SUVA 
R0lJR6Su1wcDPzzzbrkcObRyjTO2;Medsport - site de Sion
h21ZyIpknGUksWjxUDLo2Mthwy92;Spital Zentrum Oberwallis (SZO) - site de Brig
KplEdkaz5na6IzzQUFxy8ldozMA2;Hôpital du Valais (HVS) - site de Sierre
NKzeoLK9hlSWLKHy858f84dZ7jz1;Berner Klinik Montana
i3VYPIfwLqTWfAL1E5HeHRRM5TE3;Leukerbad Clinic
bTZVtsHKMuUL7MH05G4HxVdGvxt2;Phoenix Physio 
v0Bv2oLhCkhDJvVvXktZsmnj16U2;Hôpital du Valais (HVS) - site de Sion
zss86bdGCVgvYgWzkc8dK7qLNi92;Hôpital Riviera-Chablais (HRC) -Clinique CGR du Chablais
;
