ID,choice1,choice2,choice3,choice4,choice5
3XdluvWkn4NM3gFsvPNCtUDM5Oi1,20_1,55_1,9_1,6_1,92_1
4Bf1mBR9HjcLeFcDeuEVRrGDaU63,89_1,50_1,3_1,51_1,59_1
4XpuWt6oUEgmQ9IjEloUtqyd4c43,3_1,89_1,41_1,35_1,51_1
4qoWztDujictoqTEJvJK6xF1Zcr1,3_1,50_1,49_1,89_1,51_1
6Kza76qZHxOb8TlrP068rdr93br1,89_1,55_1,59_1,62_1,51_1
8YkNXMIQd4OiFHX0Ljm4LKsbZ2A2,4_1,44_1,89_1,52_1,51_1
A5gF87EUo6NdCaKoemDLN5V4gkF2,9_1,4_1,52_1,51_1,62_1
AXP0X3rUqzbpG3thTZcuZ6Ax1no1,3_1,49_1,50_1,62_1,94_1
AaVsgnDJcfc4ZG8BwfCezt1VSZA3,50_1,49_1,3_1,101_1,18_1
H4RtKMKXpYhJkTOTOOm62ANGNAo2,52_1,89_1,14_1,87_1,35_1
Hnqd1QWfsafGdmWBECGv7owgJFt2,49_1,43_1,51_1,35_1,18_1
Jg1Ejqc46rbcTHBwOMRYZZRwbTE2,3_1,95_1,50_1,56_1,89_1
KplEdkaz5na6IzzQUFxy8ldozMA2,63_1,95_1,44_1,52_1,4_1
M8ySAiobcuStMPVUKB1SUjfZO2D2,51_1,52_1,87_1,6_1,22_1
NKzeoLK9hlSWLKHy858f84dZ7jz1,43_1,41_1,28_1,15_1,4_1
Na44fbbTNZUjn7JIw6bBgLmTGmB2,35_1,18_1,50_1,32_1,101_1
PQKKiABo9oWhgcOKlmD5f1kKPoF3,92_1,89_1,51_1,52_1,43_1
QzBEdtlEIsfsg3pD6B1adFBmZSG2,87_1,6_1,94_1,4_1,0_1
R5PCIOnQeUhRSyFRTI9fg0Wp8p23,49_1,89_1,94_1,52_1,9_1
RY3eRRvuMhcM10siGR3QdhIHBI42,50_1,3_1,20_1,0_1,89_1
SodSajGZ6lhfjjwB8YB4pMYT3hZ2,49_1,20_1,50_1,3_1,85_1
T70EwGWJMtZ22rcprSkqiOcPzTf1,44_1,95_1,56_1,3_1,50_1
VO9wOi3JGvVchoaQvtNTidOABe03,101_1,41_1,18_1,43_1,35_1
Vnf1L8xxhFheK6RE3P18MGzMDkc2,89_1,41_1,51_1,52_1,62_1
WwfAPnGOElWCCprK8J9QpARedqV2,51_1,52_1,40_1,41_1,101_1
XK3sK3I48cMs89evbLhJZwBNlS92,49_1,50_1,20_1,3_1,52_1
XQtDBAPWalffkax0p7ml1k0yOtr2,49_1,50_1,101_1,43_1,15_1
YiI50LxSiZYDXMtiCNf6kwEWSQ42,51_1,3_1,49_1,89_1,50_1
aMpDSmIIsjZHIHJrVFGyKiLF94j2,92_1,52_1,35_1,40_1,41_1
atQ2mk9k2lUYzt9nrJgwsjyzz702,50_1,49_1,3_1,44_1,51_1
db0aQCgPMGgusm21XWqJ6RkXRvU2,14_1,40_1,3_1,20_1,51_1
djz1MyC7JsYen1wobYSUQC4aeF92,20_1,49_1,3_1,0_1,6_1
fE3EIKzXzKd3e7k8xoye5uc3PPd2,49_1,50_1,52_1,32_1,51_1
fgw7KyTqr4WAoThi0KjJtDRY7Ri2,35_1,26_1,0_1,89_1,18_1
h21ZyIpknGUksWjxUDLo2Mthwy92,35_1,18_1,32_1,15_1,0_1
hZTRrS8UMrfybYXKulfk1pI03jw2,18_1,22_1,32_1,101_1,0_1
i3VYPIfwLqTWfAL1E5HeHRRM5TE3,44_1,9_1,95_1,40_1,16_1
kBlGnRSNhgaQSTPumpAz4jZ7pgq2,50_1,44_1,41_1,43_1,3_1
lQVKbNduW7gdmCOBxC5KYnaIvGG3,44_1,56_1,95_1,89_1,52_1
lRjmWjDaAUcsqHli7A3rfvAazgl2,51_1,26_1,62_1,4_1,9_1
mGwDQ6cu9BfI9d0sLUVdZBnoooB2,89_1,49_1,15_1,85_1,4_1
nqvttcCyf3SL6YT1DJJ8GGM3MKz2,89_1,59_1,50_1,55_1,49_1
qMjlyqwW8wN9IsVapiUoCXrJjOG2,18_1,40_1,0_1,52_1,51_1
sJ0z0k4idEg6PMCnMrjW3lho9cs1,13_1,6_1,50_1,56_1,87_1
ta5fEsMcBHV64fLfjy7knGlQVd93,52_1,51_1,89_1,50_1,62_1
tc2VPj6NxHQyXqO9cxgs1VvCH9A2,101_1,26_1,9_1,40_1,43_1
ugBbi96TQGRuQLKFwT43qJHa4za2,92_1,59_1,51_1,62_1,55_1
uwUTp2rxDHhytEej6vKfcVlOCY73,26_1,18_1,101_1,43_1,32_1
v0Bv2oLhCkhDJvVvXktZsmnj16U2,63_1,49_1,3_1,50_1,20_1
wb6ciGEN2tVpmU0Ld5ftdVCy1Qi1,26_1,40_1,0_1,6_1,59_1
yWShM6jbuNcck2CfI0ihEtckesW2,56_1,16_1,52_1,51_1,89_1
yn7VMvQNy8gz9G2SrHjsYIuCfxA2,40_1,52_1,20_1,89_1,4_1
zss86bdGCVgvYgWzkc8dK7qLNi92,32_1,89_1,50_1,49_1,35_1